date,year,month,meter_id,measurement_type,meter_type,suburb,usage_type,total_value,avg_value,max_value,min_value,reading_count,processed_time
2022-07-05,2022,7,67074,Pulse1,captis_pulse,KULUIN,Residential,223.0,4.2075471698113205,79.0,0.0,53,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,67074,DeviceTemperature,captis_pulse,KULUIN,Residential,40.76,13.586666666666666,13.9,12.96,3,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,26934771,Pulse1,captis_pulse,MAROOCHYDORE,Non-Residential,4370.0,89.18367346938776,230.0,14.0,49,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,81964841,Pulse1,captis_pulse,KULUIN,Residential,135.0,6.75,74.0,0.0,20,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,26934771,DeviceTemperature,captis_pulse,MAROOCHYDORE,Non-Residential,28.22,14.11,14.5,13.72,2,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,26934771,Battery,captis_pulse,MAROOCHYDORE,Non-Residential,3.64,3.64,3.64,3.64,1,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,67074,Battery,captis_pulse,KULUIN,Residential,71.27499999999999,23.75833333333333,66.0,1.645,3,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,81964841,Battery,captis_pulse,KULUIN,Residential,52.65,26.325,49.0,3.65,2,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,81964841,DeviceTemperature,captis_pulse,KULUIN,Residential,17.92,17.92,17.92,17.92,1,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,64296852,DeviceTemperature,captis_pulse,BUDERIM,Non-Residential,12.8,12.8,12.8,12.8,1,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,61294104,Battery,captis_pulse,BUDERIM,Residential,3.64,3.64,3.64,3.64,1,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,61294104,DeviceTemperature,captis_pulse,BUDERIM,Residential,15.5,15.5,15.5,15.5,1,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,81964841,Pulse1,captis_pulse,KULUIN,Residential,31.0,1.2916666666666667,8.0,0.0,24,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,67074,Pulse1,captis_pulse,KULUIN,Residential,14.0,0.6363636363636364,8.0,0.0,22,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,26934771,Pulse1,captis_pulse,MAROOCHYDORE,Non-Residential,1648.0,47.08571428571429,160.0,12.0,35,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,61294104,DeviceTemperature,captis_pulse,BUDERIM,Residential,14.6,14.6,14.6,14.6,1,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,67074,DeviceTemperature,captis_pulse,KULUIN,Residential,11.1,11.1,11.1,11.1,1,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,26934771,Battery,captis_pulse,MAROOCHYDORE,Non-Residential,3.64,3.64,3.64,3.64,1,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,67074,Battery,captis_pulse,KULUIN,Residential,73.58,24.526666666666667,68.0,1.95,3,2025-12-08T10:18:57.190Z
2022-07-04,2022,7,26934771,DeviceTemperature,captis_pulse,MAROOCHYDORE,Non-Residential,12.1,12.1,12.1,12.1,1,2025-12-08T10:18:57.190Z
2022-07-06,2022,7,67074,Pulse1,captis_pulse,KULUIN,Residential,57.0,3.8,26.0,0.0,15,2025-12-08T10:18:57.190Z
2022-07-06,2022,7,26934771,Pulse1,captis_pulse,MAROOCHYDORE,Non-Residential,1678.0,111.86666666666666,172.0,18.0,15,2025-12-08T10:18:57.190Z
2022-07-06,2022,7,81964841,Pulse1,captis_pulse,KULUIN,Residential,1.0,1.0,1.0,1.0,1,2025-12-08T10:18:57.190Z
2022-07-06,2022,7,67074,DeviceTemperature,captis_pulse,KULUIN,Residential,26.4,26.4,26.4,26.4,1,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,60195138,Pulse1_Total,captis_pulse,BUDERIM,Residential,1500.0,30.0,30.0,30.0,50,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,60195138,Pulse1,captis_pulse,BUDERIM,Residential,0.0,0.0,0.0,0.0,50,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,61233611,Pulse1_Total,captis_pulse,BUDERIM,Residential,1568.0,32.0,32.0,32.0,49,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,61233611,Pulse1,captis_pulse,BUDERIM,Residential,0.0,0.0,0.0,0.0,49,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,65088476,Pulse1,captis_pulse,BUDERIM,Residential,940.0,18.8,60.0,0.0,50,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,10272,Pulse1,captis_pulse,BUDERIM,Residential,170.0,3.269230769230769,93.0,0.0,52,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,61233611,DeviceTemperature,captis_pulse,BUDERIM,Residential,28.9,14.45,14.9,14.0,2,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,61233611,Battery,captis_pulse,BUDERIM,Residential,74.423,24.807666666666666,69.0,1.793,3,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,65088476,Battery,captis_pulse,BUDERIM,Residential,74.181,24.727,68.0,2.541,3,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,65088476,DeviceTemperature,captis_pulse,BUDERIM,Residential,24.130000000000003,12.065000000000001,12.4,11.73,2,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,60195138,DeviceTemperature,captis_pulse,BUDERIM,Residential,14.2,14.2,14.2,14.2,1,2025-12-08T10:18:57.190Z
2022-07-05,2022,7,10272,DeviceTemperature,captis_pulse,BUDERIM,Residential,14.5,14.5,14.5,14.5,1,2025-12-08T10:18:57.190Z
