managedObjects_id,Meter Type,Suburb,Postcode,Usage Type
61221417,captis_pulse,BUDERIM,4556,Residential
62366197,captis_pulse,BUDERIM,4556,Residential
22722932,c8y_lwm2m,BUDERIM,4556,Residential
62362043,captis_pulse,BUDERIM,4556,Residential
61144919,captis_pulse,BUDERIM,4556,Residential
62362145,captis_pulse,BUDERIM,4556,Residential
29531025,c8y_lwm2m,BUDERIM,4556,Residential
22723951,c8y_lwm2m,MAROOCHYDORE,4558,Residential
22723837,c8y_lwm2m,KULUIN,4558,Residential
22723429,c8y_lwm2m,KULUIN,4558,Residential
22723717,c8y_lwm2m,KULUIN,4558,Residential
22723804,c8y_lwm2m,BUDERIM,4556,Residential
71786533,c8y_lwm2m,MOUNTAIN CREEK,4557,Residential
53973,captis_pulse,BUDERIM,4556,Residential
8863,captis_pulse,BUDERIM,4556,Residential
71786680,c8y_lwm2m,BUDERIM,4556,Residential
22723543,c8y_lwm2m,KULUIN,4558,Residential
22722931,c8y_lwm2m,KULUIN,4558,Residential
22723540,c8y_lwm2m,MAROOCHYDORE,4558,Residential
52530,captis_pulse,MAROOCHYDORE,4558,Residential
22722632,c8y_lwm2m,BUDERIM,4556,Residential
22723924,c8y_lwm2m,BUDERIM,4556,Residential
22723808,c8y_lwm2m,BUDERIM,4556,Residential
22723592,c8y_lwm2m,BUDERIM,4556,Residential
22723017,c8y_lwm2m,BUDERIM,4556,Residential
22723946,c8y_lwm2m,BUDERIM,4556,Residential
22723019,c8y_lwm2m,BUDERIM,4556,Residential
22723694,c8y_lwm2m,BUDERIM,4556,Residential
22723707,c8y_lwm2m,BUDERIM,4556,Residential
22722978,c8y_lwm2m,BUDERIM,4556,Residential
22723961,c8y_lwm2m,BUDERIM,4556,Residential
22722983,c8y_lwm2m,BUDERIM,4556,Residential
602079,captis_pulse,BUDERIM,4556,Residential
591856,captis_pulse,BUDERIM,4556,Residential
22723102,c8y_lwm2m,BUDERIM,4556,Residential
22723011,c8y_lwm2m,BUDERIM,4556,Residential
737572,captis_pulse,BUDERIM,4556,Residential
22722652,c8y_lwm2m,BUDERIM,4556,Residential
22723074,c8y_lwm2m,BUDERIM,4556,Residential
82308,captis_pulse,BUDERIM,4556,Residential
1664379,captis_pulse,BUDERIM,4556,Residential
92395,captis_pulse,BUDERIM,4556,Residential
22722995,c8y_lwm2m,BUDERIM,4556,Residential
22723064,c8y_lwm2m,BUDERIM,4556,Residential
97600,captis_pulse,BUDERIM,4556,Residential
81426,captis_pulse,BUDERIM,4556,Residential
1462392,captis_pulse,BUDERIM,4556,Residential
1662496,captis_pulse,BUDERIM,4556,Residential
22722929,c8y_lwm2m,BUDERIM,4556,Residential
22722957,c8y_lwm2m,KULUIN,4558,Residential
22722959,c8y_lwm2m,KULUIN,4558,Residential
81970859,captis_pulse,BUDERIM,4556,Residential
64629951,captis_pulse,MAROOCHYDORE,4558,Residential
61204642,captis_pulse,BUDERIM,4556,Residential
292327,captis_pulse,BUDERIM,4556,Residential
64254,captis_pulse,BUDERIM,4556,Residential
77617,captis_pulse,BUDERIM,4556,Residential
293809,captis_pulse,BUDERIM,4556,Residential
311558,captis_pulse,BUDERIM,4556,Residential
286914,captis_pulse,BUDERIM,4556,Residential
283478,captis_pulse,BUDERIM,4556,Residential
294921,captis_pulse,BUDERIM,4556,Residential
292072,captis_pulse,BUDERIM,4556,Residential
64630792,captis_pulse,BUDERIM,4556,Residential
22722993,c8y_lwm2m,BUDERIM,4556,Residential
22722991,c8y_lwm2m,BUDERIM,4556,Residential
22723063,c8y_lwm2m,BUDERIM,4556,Residential
22722970,c8y_lwm2m,BUDERIM,4556,Residential
602793,captis_pulse,BUDERIM,4556,Residential
590071,captis_pulse,BUDERIM,4556,Residential
593842,captis_pulse,BUDERIM,4556,Residential
577462,captis_pulse,BUDERIM,4556,Residential
22722990,c8y_lwm2m,BUDERIM,4556,Residential
22723162,c8y_lwm2m,BUDERIM,4556,Residential
22723159,c8y_lwm2m,BUDERIM,4556,Residential
22722916,c8y_lwm2m,BUDERIM,4556,Residential
22723028,c8y_lwm2m,BUDERIM,4556,Residential
22723874,c8y_lwm2m,BUDERIM,4556,Residential
22723935,c8y_lwm2m,BUDERIM,4556,Residential
22723828,c8y_lwm2m,BUDERIM,4556,Residential
22722912,c8y_lwm2m,BUDERIM,4556,Residential
29531016,c8y_lwm2m,BUDERIM,4556,Residential
29531070,c8y_lwm2m,BUDERIM,4556,Residential
29531092,c8y_lwm2m,BUDERIM,4556,Residential
589914,captis_pulse,BUDERIM,4556,Residential
22723075,c8y_lwm2m,BUDERIM,4556,Residential
22723591,c8y_lwm2m,BUDERIM,4556,Residential
22723093,c8y_lwm2m,BUDERIM,4556,Residential
22723508,c8y_lwm2m,KULUIN,4558,Residential
22723888,c8y_lwm2m,KULUIN,4558,Residential
22723884,c8y_lwm2m,KULUIN,4558,Residential
22723889,c8y_lwm2m,KULUIN,4558,Residential
22722965,c8y_lwm2m,KULUIN,4558,Residential
22722964,c8y_lwm2m,KULUIN,4558,Residential
22722963,c8y_lwm2m,KULUIN,4558,Residential
22722902,c8y_lwm2m,KULUIN,4558,Residential
22722674,c8y_lwm2m,KULUIN,4558,Residential
22723887,c8y_lwm2m,KULUIN,4558,Residential
22723325,c8y_lwm2m,KULUIN,4558,Residential
22723542,c8y_lwm2m,KULUIN,4558,Residential
22722960,c8y_lwm2m,KULUIN,4558,Residential
22722901,c8y_lwm2m,KULUIN,4558,Residential
