date,year,month,meter_id,measurement_type,meter_type,suburb,usage_type,total_value,avg_value,max_value,min_value,reading_count,processed_time
2022-07-12,2022,7,26934771,Pulse1,captis_pulse,maroochydore,non-residential,1066.0,53.3,133.0,15.0,20,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,26934771,Pulse1,captis_pulse,maroochydore,non-residential,2291.0,99.6086956521739,227.0,12.0,23,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,64296852,DeviceTemperature,captis_pulse,buderim,non-residential,13.11,13.11,13.11,13.11,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,67074,Pulse1,captis_pulse,kuluin,residential,27.0,1.588235294117647,11.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,67074,Pulse1_Total,captis_pulse,kuluin,residential,9699601.0,570564.7647058824,570660.0,570533.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,67074,DeviceTemperature,captis_pulse,kuluin,residential,12.79,12.79,12.79,12.79,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,67074,Pulse1,captis_pulse,kuluin,residential,156.0,6.0,65.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,67074,Pulse1_Total,captis_pulse,kuluin,residential,1.4841608E7,570831.0769230769,571011.0,570660.0,26,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,81964841,Pulse1,captis_pulse,kuluin,residential,51.0,3.1875,49.0,0.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,81964841,Pulse1_Total,captis_pulse,kuluin,residential,3551414.0,221963.375,222021.0,221942.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,81964841,DeviceTemperature,captis_pulse,kuluin,residential,16.6,16.6,16.6,16.6,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,81964841,Pulse1,captis_pulse,kuluin,residential,0.0,0.0,0.0,0.0,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,81964841,Pulse1_Total,captis_pulse,kuluin,residential,222041.0,222041.0,222041.0,222041.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,10272,Pulse1,captis_pulse,buderim,residential,4.0,0.2222222222222222,3.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,10272,Pulse1_Total,captis_pulse,buderim,residential,7557647.0,419869.27777777775,419889.0,419867.0,18,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,10272,Pulse1,captis_pulse,buderim,residential,433.0,15.464285714285714,117.0,0.0,28,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,10272,Pulse1_Total,captis_pulse,buderim,residential,1.1765185E7,420185.1785714286,420517.0,419890.0,28,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60195138,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60195138,Pulse1_Total,captis_pulse,buderim,residential,480.0,30.0,30.0,30.0,16,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60195138,DeviceTemperature,captis_pulse,buderim,residential,12.0,12.0,12.0,12.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60195138,Battery,captis_pulse,buderim,residential,3.64,3.64,3.64,3.64,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60195138,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,22,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60195138,Pulse1_Total,captis_pulse,buderim,residential,660.0,30.0,30.0,30.0,22,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60195138,DeviceTemperature,captis_pulse,buderim,residential,20.9,20.9,20.9,20.9,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61233611,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61233611,Pulse1_Total,captis_pulse,buderim,residential,576.0,32.0,32.0,32.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61233611,Battery,captis_pulse,buderim,residential,73.63,36.815,70.0,3.63,2,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61233611,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61233611,Pulse1_Total,captis_pulse,buderim,residential,768.0,32.0,32.0,32.0,24,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65088476,Pulse1,captis_pulse,buderim,residential,360.0,20.0,90.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65088476,DeviceTemperature,captis_pulse,buderim,residential,12.4,12.4,12.4,12.4,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65088476,Battery,captis_pulse,buderim,residential,74.57199999999999,24.85733333333333,69.0,1.942,3,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,65088476,Pulse1,captis_pulse,buderim,residential,540.0,20.76923076923077,60.0,0.0,26,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,65088476,DeviceTemperature,captis_pulse,buderim,residential,20.2,20.2,20.2,20.2,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,593686,Pulse1,captis_pulse,buderim,residential,48.0,2.823529411764706,40.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,593686,Pulse1_Total,captis_pulse,buderim,residential,4618593.0,271681.9411764706,271754.0,271674.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,593686,DeviceTemperature,captis_pulse,buderim,residential,9.2,9.2,9.2,9.2,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,593686,Pulse1,captis_pulse,buderim,residential,170.0,7.083333333333333,48.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,593686,Pulse1_Total,captis_pulse,buderim,residential,6531768.0,272157.0,272233.0,271977.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,593686,DeviceTemperature,captis_pulse,buderim,residential,16.0,16.0,16.0,16.0,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60192782,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,60192782,Pulse1_Total,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,18,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60192782,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60192782,Pulse1_Total,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,24,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,60192782,DeviceTemperature,captis_pulse,buderim,residential,22.6,22.6,22.6,22.6,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65059861,Pulse1,captis_pulse,scarborough,residential,1000.0,58.8235294117647,150.0,30.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,65059861,Pulse1_Total,captis_pulse,scarborough,residential,1.5144894E7,890876.1176470588,892312.0,890122.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,313802,Pulse1,captis_pulse,buderim,residential,12.0,0.7058823529411765,11.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,313802,Pulse1_Total,captis_pulse,buderim,residential,7886517.0,463912.76470588235,463924.0,463912.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,313802,DeviceTemperature,captis_pulse,buderim,residential,14.68,14.68,14.68,14.68,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,313802,Pulse1,captis_pulse,buderim,residential,67.0,2.9130434782608696,18.0,0.0,23,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,313802,Pulse1_Total,captis_pulse,buderim,residential,1.0673023E7,464044.47826086957,464086.0,463924.0,23,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,313802,DeviceTemperature,captis_pulse,buderim,residential,17.9,17.9,17.9,17.9,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61279693,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61279693,Pulse1_Total,captis_pulse,buderim,residential,595.0,35.0,35.0,35.0,17,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61279693,DeviceTemperature,captis_pulse,buderim,residential,11.1,11.1,11.1,11.1,1,2025-12-23T13:39:34.573Z
2022-07-12,2022,7,61279693,Battery,captis_pulse,buderim,residential,2.043,2.043,2.043,2.043,1,2025-12-23T13:39:34.573Z
2022-07-13,2022,7,61279693,Pulse1,captis_pulse,buderim,residential,0.0,0.0,0.0,0.0,26,2025-12-23T13:39:34.573Z
