date,year,month,meter_id,measurement_type,meter_type,suburb,usage_type,total_value,avg_value,max_value,min_value,reading_count,processed_time,issue_type,severity
2022-07-12,2022,7,67074,Pulse1_Total,captis_pulse,kuluin,residential,9699601.0,570564.7647058824,570660.0,570533.0,17,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,67074,Pulse1_Total,captis_pulse,kuluin,residential,1.4841608E7,570831.0769230769,571011.0,570660.0,26,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,81964841,Pulse1_Total,captis_pulse,kuluin,residential,3551414.0,221963.375,222021.0,221942.0,16,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,81964841,Pulse1_Total,captis_pulse,kuluin,residential,222041.0,222041.0,222041.0,222041.0,1,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,10272,Pulse1_Total,captis_pulse,buderim,residential,7557647.0,419869.27777777775,419889.0,419867.0,18,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,10272,Pulse1_Total,captis_pulse,buderim,residential,1.1765185E7,420185.1785714286,420517.0,419890.0,28,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,593686,Pulse1_Total,captis_pulse,buderim,residential,4618593.0,271681.9411764706,271754.0,271674.0,17,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,593686,Pulse1_Total,captis_pulse,buderim,residential,6531768.0,272157.0,272233.0,271977.0,24,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,65059861,Pulse1_Total,captis_pulse,scarborough,residential,1.5144894E7,890876.1176470588,892312.0,890122.0,17,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,313802,Pulse1_Total,captis_pulse,buderim,residential,7886517.0,463912.76470588235,463924.0,463912.0,17,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,313802,Pulse1_Total,captis_pulse,buderim,residential,1.0673023E7,464044.47826086957,464086.0,463924.0,23,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,61279693,Battery,captis_pulse,buderim,residential,2.043,2.043,2.043,2.043,1,2025-12-23T13:39:34.573Z,LOW_BATTERY,CRITICAL
2022-07-12,2022,7,62293883,Pulse1_Total,captis_pulse,buderim,residential,1360315.0,80018.5294117647,80163.0,79938.0,17,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,62293883,Pulse1_Total,captis_pulse,buderim,residential,1851559.0,80502.56521739131,80635.0,80175.0,23,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,62312765,Pulse1_Total,captis_pulse,buderim,residential,630377.0,37081.0,37081.0,37081.0,17,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,62312765,Pulse1_Total,captis_pulse,buderim,residential,964106.0,37081.0,37081.0,37081.0,26,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,62365471,Pulse1_Total,captis_pulse,buderim,residential,469086.0,27593.29411764706,27614.0,27589.0,17,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,62365471,Pulse1_Total,captis_pulse,buderim,residential,692006.0,27680.24,27737.0,27622.0,25,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,61200816,Pulse1_Total,captis_pulse,buderim,residential,291701.0,19446.733333333334,19537.0,19415.0,15,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,61200816,Pulse1_Total,captis_pulse,buderim,residential,489346.0,19573.84,19703.0,19546.0,25,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,62365439,Pulse1_Total,captis_pulse,buderim,residential,266403.0,14800.166666666666,14982.0,14747.0,18,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,62365439,Pulse1_Total,captis_pulse,buderim,residential,391622.0,15062.384615384615,15067.0,14991.0,26,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,9395586,Pulse1_Total,captis_pulse,buderim,residential,4061511.0,253844.4375,253912.0,253817.0,16,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,9395586,Pulse1_Total,captis_pulse,buderim,residential,6104764.0,254365.16666666666,254972.0,253920.0,24,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,283478,Pulse1_Total,captis_pulse,buderim,residential,6598999.0,412437.4375,412552.0,412421.0,16,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-13,2022,7,283478,Pulse1_Total,captis_pulse,buderim,residential,9498508.0,412978.60869565216,413109.0,412605.0,23,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
2022-07-12,2022,7,61194261,Pulse1_Total,captis_pulse,buderim,residential,1071130.0,59507.22222222222,59561.0,59492.0,18,2025-12-23T13:39:34.573Z,HIGH_CONSUMPTION,WARNING
